Method,Mean Difference,Std Error,Method Type
CRL + GoalKDE + Full Tau,0.15933752059936523,0.01098836399614811,GoalKDE
CRL + GoalKDE + Mean Field,0.44911932945251465,0.01135206688195467,GoalKDE
GCBC + Full Tau,0.2975173592567444,0.013827790506184101,BC
GCBC + Mean Field,0.9502362608909607,0.010116282850503922,BC
