Method,Mean Difference,Std Error,Method Type
FB + Standard,0.07651740312576294,0.01153695210814476,FB
FB + GoalKDE MF,0.11514592170715332,0.012285937555134296,FB
FB + True Goal,0.12311804294586182,0.0127747543156147,FB
CRL + GoalKDE + Mean Field,0.4603159427642822,0.011225431226193905,GoalKDE
