Method,Mean Distance,Std Error,Method Type
Last State,1.3004316091537476,0.05831605941057205,Baseline
CRL + Oracle + Full Tau,1.4934744834899902,0.05645519122481346,CRL
CRL + Oracle + Mean Field,0.833246111869812,0.05251512676477432,CRL (Mean Field)
CRL + GoalKDE + Full Tau,2.0308446884155273,0.05787269398570061,GoalKDE
CRL + GoalKDE + Mean Field,0.9391648173332214,0.05232679471373558,GoalKDE (Mean Field)
GCBC + Full Tau,2.39223051071167,0.06639686971902847,BC
GCBC + Mean Field,0.9747153520584106,0.051867302507162094,BC (Mean Field)
