Method,Mean Difference,Std Error,Method Type
GCBC + Mean Field,0.26796984672546387,0.013828647322952747,BC
Nearest Neighbor,0.003524303436279297,0.0108384620398283,NN
FB,5.960464477539063e-08,0.010793760418891907,FB
CRL + GoalKDE + Mean Field,0.4610191583633423,0.011458134278655052,GoalKDE
