Method,Mean Distance,Std Error,Method Type
Last State,0.315796822309494,0.004580456763505936,Baseline
CRL + Oracle + Full Tau,0.43096840381622314,0.004835327155888081,CRL
CRL + Oracle + Mean Field,0.17057715356349945,0.0023441039957106113,CRL (Mean Field)
CRL + GoalKDE + Full Tau,0.2735263705253601,0.0032675445545464754,GoalKDE
CRL + GoalKDE + Mean Field,0.24015866219997406,0.003455009311437607,GoalKDE (Mean Field)
GCBC + Full Tau,1.0851494073867798,0.017521429806947708,BC
GCBC + Mean Field,0.1342729926109314,0.0011755818268284202,BC (Mean Field)
