Method,Mean Distance,Std Error,Method Type
Last State,0.01896781660616398,0.0006110604736022651,Baseline
CRL Inferred Goal,0.15086887776851654,0.023480521515011787,CRL
CRL MF Inferred Goal,0.042700622230768204,0.00020410152501426637,CRL (Mean Field)
GoalKDE Inferred Goal,0.18720294535160065,0.002294197678565979,GoalKDE
GoalKDE MF Inferred Goal,0.15567848086357117,0.0022175516933202744,GoalKDE (Mean Field)
BC Inferred Goal,0.3116742968559265,0.16960984468460083,BC
BC MF Inferred Goal,0.007938837632536888,0.00027329163276590407,BC (Mean Field)
