Method,Mean Difference,Std Error,Method Type
CRL Last State,210.56300354003906,6.839782238006592,CRL
CRL Inferred Goal,195.6840057373047,6.963614463806152,CRL
CRL Mean Field,49.58000183105469,6.519678592681885,CRL
GoalKDE Last State,268.4540100097656,7.521690845489502,GoalKDE
GoalKDE Inferred Goal,317.3030090332031,7.281033039093018,GoalKDE
GoalKDE Mean Field,262.7530212402344,7.694371223449707,GoalKDE
BC Last State,333.7370300292969,7.5109453201293945,BC
BC Inferred Goal,353.1130065917969,7.316600799560547,BC
BC Mean Field,345.5570068359375,7.513233661651611,BC
