Method,Mean Distance,Std Error,Method Type
Last State,1.1090065240859985,0.06387690454721451,Baseline
CRL Inferred Goal,0.7245054244995117,0.04433821886777878,CRL
CRL MF Inferred Goal,0.46450814604759216,0.04432345926761627,CRL (Mean Field)
GoalKDE Inferred Goal,1.1608487367630005,0.047083716839551926,GoalKDE
GoalKDE MF Inferred Goal,0.5942652821540833,0.04810890555381775,GoalKDE (Mean Field)
BC Inferred Goal,1.1418298482894897,0.04913219064474106,BC
BC MF Inferred Goal,0.7918461561203003,0.0450621135532856,BC (Mean Field)
