Environment,Method,Method Type,Imitation Score (%)
Ant,True Goal,CRL + CIRL,61.3 ± 1.4
Ant,Last State,CRL + CIRL,43.2 ± 1.1
Ant,MF Inferred Goal,CRL + CIRL,46.0 ± 1.1
Reacher,True Goal,CRL + CIRL,102.7 ± 0.2
Reacher,Last State,CRL + CIRL,95.8 ± 0.4
Reacher,MF Inferred Goal,CRL + CIRL,100.4 ± 0.2
Pusher,True Goal,CRL + CIRL,107.5 ± 1.7
Pusher,Last State,CRL + CIRL,80.0 ± 1.2
Pusher,MF Inferred Goal,CRL + CIRL,22.0 ± 1.6
