Method,Mean Difference,Std Error,Method Type,Environment
FB + Inferred Goal,38.55479955673218,1.05549143627285,FB,Reacher
CRL + GoalKDE + Mean Field,100.38518905639648,0.23130411282181,CIRL,Reacher
FB + Inferred Goal,11.45679950714111,1.20385102927684,FB,Ant
CRL + GoalKDE + Mean Field,45.43707966804504,1.11589785665273,CIRL,Ant
FB + Inferred Goal,6.0388863086700395,1.43776135519146,FB,Pusher
CRL + GoalKDE + Mean Field,21.56466841697693,1.59569773823022,CIRL,Pusher
