Method,Mean Difference,Std Error,Method Type,Environment
FB + Last State,35.844945907592766,1.02061992511153,FB,Reacher
FB (Offline) + Last State,23.85278940200805,0.8908974006771999,FB,Reacher
CRL + GoalKDE + Last State,95.78055143356325,0.41529810987412,CIRL,Reacher
FB + Last State,9.44430828094482,1.15318689495325,FB,Ant
FB (Offline) + Last State,0.0,1.02828899398446,FB,Ant
CRL + GoalKDE + Last State,43.8636302947998,1.06406137347221,CIRL,Ant
FB + Last State,4.93460297584533,1.4010845683515,FB,Pusher
FB (Offline) + Last State,4.93460297584533,1.4010845683515,FB,Pusher
CRL + GoalKDE + Last State,80.04232048988342,1.1554238386452098,CIRL,Pusher
