Method,Mean Difference,Std Error,Method Type,Environment
CRL + Oracle + Mean Field,83.37198495864868,1.01165128871798,CRL + Oracle,Ant
CRL + GoalKDE + Mean Field,46.03159427642822,1.12254312261939,CRL + GoalKDE (CIRL),Ant
CRL + Oracle + Mean Field,65.09250402450562,0.8659680373966601,CRL + Oracle,Reacher
CRL + GoalKDE + Mean Field,100.41780471801758,0.23166616447269,CRL + GoalKDE (CIRL),Reacher
CRL + Oracle + Mean Field,35.73452830314636,1.7275983467698,CRL + Oracle,Pusher
CRL + GoalKDE + Mean Field,22.014182806015008,1.6050374135374998,CRL + GoalKDE (CIRL),Pusher
