Series,MeanTotalReward,StdError
GoalKDE Expert,16.870003,1.247629
GoalKDE Imit,-118.416992,9.281081
FB Expert,16.870003,1.247629
FB Imit,-461.087036,34.072018
HILP Expert,16.870003,1.247629
HILP Imit,0.000000,0.000000
PSM Expert,16.870003,1.247629
PSM Imit,-456.194672,33.692886
