Method,Mean Difference,Std Error,Method Type
CRL Last State,63.70700454711914,5.354942321777344,CRL
CRL Inferred Goal,666.675048828125,11.972037315368652,CRL
CRL Mean Field,10.156000137329102,2.942425489425659,CRL
GoalKDE Last State,52.189002990722656,5.792106628417969,GoalKDE
GoalKDE Inferred Goal,911.3060302734375,5.719236373901367,GoalKDE
GoalKDE Mean Field,908.1290283203125,6.810581684112549,GoalKDE
BC Last State,26.191001892089844,6.377249240875244,BC
BC Inferred Goal,504.3160095214844,14.966944694519043,BC
BC Mean Field,-19.98400115966797,3.2923758029937744,BC
