Method,Mean Distance,Std Error,Method Type
Last State,0.1709098219871521,0.006283010356128216,Baseline
CRL Inferred Goal,0.2989944517612457,0.06250464171171188,CRL
CRL MF Inferred Goal,0.3547614812850952,0.0022708382457494736,CRL (Mean Field)
GoalKDE Inferred Goal,0.8168016076087952,0.3866502642631531,GoalKDE
GoalKDE MF Inferred Goal,0.21370282769203186,0.0024086604826152325,GoalKDE (Mean Field)
BC Inferred Goal,0.12040837109088898,0.0013638460077345371,BC
BC MF Inferred Goal,0.11164296418428421,0.0011655458947643638,BC (Mean Field)
