Method,Mean Distance,Std Error,Method Type
Last State,1.1821398735046387,0.05413636937737465,Baseline
CRL Inferred Goal,1.4035017490386963,0.05059577152132988,CRL
CRL MF Inferred Goal,0.7470685243606567,0.04973285645246506,CRL (Mean Field)
GoalKDE Inferred Goal,1.9610387086868286,0.05441197752952576,GoalKDE
GoalKDE MF Inferred Goal,0.8493422269821167,0.049090296030044556,GoalKDE (Mean Field)
BC Inferred Goal,2.3174946308135986,0.06550190597772598,BC
BC MF Inferred Goal,0.8944310545921326,0.04902277886867523,BC (Mean Field)
