Method,Mean Distance,Std Error,Method Type
Last State,0.09570540487766266,0.0032327333465218544,Baseline
CRL + Oracle + Full Tau,20.829021453857422,0.3230162560939789,CRL
CRL + Oracle + Mean Field,0.33386969566345215,0.0029657308477908373,CRL (Mean Field)
CRL + GoalKDE + Full Tau,3.748556613922119,0.07504650205373764,GoalKDE
CRL + GoalKDE + Mean Field,0.22393345832824707,0.0028506231028586626,GoalKDE (Mean Field)
GCBC + Full Tau,5.593347072601318,0.10331843048334122,BC
GCBC + Mean Field,0.23910892009735107,0.00294229993596673,BC (Mean Field)
