Method,Mean Difference,Std Error,Method Type
True Goal,0.9165934324264526,0.010710259899497032,CRL + GoalKDE
Last State,0.8524942398071289,0.008712183684110641,CRL + GoalKDE
MF Inferred Goal,0.7725260257720947,0.009478379040956497,CRL + GoalKDE
