Method,Mean Distance,Std Error,Method Type
Last State,3.48222279548645,0.17849861085414886,Baseline
CRL + Oracle + Full Tau,4.728233337402344,0.1895824819803238,CRL
CRL + Oracle + Mean Field,2.8381011486053467,0.12325409054756165,CRL (Mean Field)
CRL + GoalKDE + Full Tau,2.946713924407959,0.1351330429315567,GoalKDE
CRL + GoalKDE + Mean Field,3.1314938068389893,0.14682814478874207,GoalKDE (Mean Field)
