environment,method_base,x,y
ant,CIRL,15.93375205993652,44.91193294525146
ant,GCBC,29.75173592567444,95.02362608909608
pusher_easy,CIRL,17.50182509422302,20.80101370811462
pusher_easy,GCBC,18.22545528411865,44.6255624294281
reacher,CIRL,23.7047016620636,100.41780471801758
reacher,GCBC,81.7792296409607,103.34982872009275
