Method,Mean Difference,Std Error,Method Type
FB + Standard,0.050506591796875,0.014146918430924416,FB
FB + GoalKDE MF,0.06046748161315918,0.014633510261774063,FB
FB + True Goal,0.05205535888671875,0.014005832374095917,FB
CRL + GoalKDE + Mean Field,0.20801013708114624,0.015957821160554886,GoalKDE
