Method,Mean Difference,Std Error,Method Type
GCBC + Mean Field,0.17200815677642822,0.015716684982180595,BC
Nearest Neighbor,0.15565544366836548,0.014740132726728916,NN
FB,0.05021810531616211,0.014000914059579372,FB
CRL + GoalKDE + Mean Field,0.21102255582809448,0.01594877801835537,GoalKDE
