Method,Mean Distance,Std Error,Method Type
Last State,0.16867275536060333,0.006443229038268328,Baseline
CRL + Oracle + Full Tau,0.8133337497711182,0.29310107231140137,CRL
CRL + Oracle + Mean Field,0.1266956776380539,0.0014496829826384783,CRL (Mean Field)
CRL + GoalKDE + Full Tau,0.2034023553133011,0.0021605812944471836,GoalKDE
CRL + GoalKDE + Mean Field,0.1512605994939804,0.001543722813948989,GoalKDE (Mean Field)
GCBC + Full Tau,0.34026607871055603,0.04934094473719597,BC
GCBC + Mean Field,0.10823868960142136,0.0011008153669536114,BC (Mean Field)
