Method,Mean Distance,Std Error,Method Type
Last State,0.315796822309494,0.004580456763505936,Baseline
CRL Inferred Goal,0.43096840381622314,0.004835327155888081,CRL
CRL MF Inferred Goal,0.17057715356349945,0.0023441039957106113,CRL (Mean Field)
GoalKDE Inferred Goal,0.2735263705253601,0.0032675445545464754,GoalKDE
GoalKDE MF Inferred Goal,0.24015866219997406,0.003455009311437607,GoalKDE (Mean Field)
BC Inferred Goal,0.3668997883796692,0.0037142925430089235,BC
BC MF Inferred Goal,0.15038053691387177,0.0012249478604644537,BC (Mean Field)
