Method,Mean Difference,Std Error,Method Type
FB + Standard,0.17333072423934937,0.005479200277477503,FB
FB + GoalKDE MF,0.1728481650352478,0.005477380007505417,FB
FB + True Goal,0.1736745834350586,0.005499520339071751,FB
CRL + GoalKDE + Mean Field,1.0041780471801758,0.0023166616447269917,GoalKDE
