Method,Mean Distance,Std Error,Method Type
Last State,0.018797270953655243,0.0004154382331762463,Baseline
CRL + Oracle + Full Tau,0.1276809275150299,0.0018302584066987038,CRL
CRL + Oracle + Mean Field,0.06266598403453827,0.0005415295017883182,CRL (Mean Field)
CRL + GoalKDE + Full Tau,0.39972785115242004,0.17215140163898468,GoalKDE
CRL + GoalKDE + Mean Field,0.04110158607363701,0.00020023786055389792,GoalKDE (Mean Field)
GCBC + Full Tau,0.057455435395240784,0.0065363384783267975,BC
GCBC + Mean Field,0.010369463823735714,0.00015037631965242326,BC (Mean Field)
