Series,MeanTotalReward,StdError
GoalKDE Expert,28.523350,3.216198
GoalKDE Imit,1.664162,2.486044
FB Expert,28.523350,3.216198
FB Imit,0.000000,0.000000
HILP Expert,28.523350,3.216198
HILP Imit,-64.901787,5.986878
PSM Expert,28.523350,3.216198
PSM Imit,-50.271248,5.243120
