Method,Mean Difference,Std Error,Method Type
CRL + Oracle + Last State,33.46750259399414,3.3912482261657715,CRL
CRL + Oracle + Full Tau,812.3295288085938,4.073645114898682,CRL
CRL + Oracle + Mean Field,217.56201171875,7.627604961395264,CRL
CRL + GoalKDE + True Goal,68.51600646972656,6.147831916809082,GoalKDE
CRL + GoalKDE + Last State,93.95000457763672,5.768896102905273,GoalKDE
CRL + GoalKDE + Full Tau,785.9535522460938,5.163837909698486,GoalKDE
CRL + GoalKDE + Mean Field,250.33851623535156,8.398547172546387,GoalKDE
