Method,Mean Difference,Std Error,Method Type
True Goal,0.9169927835464478,0.007448102813214064,CRL + GoalKDE
Last State,0.886179506778717,0.00698902178555727,CRL + GoalKDE
MF Inferred Goal,0.6967146992683411,0.010174846276640892,CRL + GoalKDE
