Method,Mean Distance,Std Error,Method Type
Last State,0.36018022894859314,0.044000353664159775,Baseline
CRL + Oracle + Full Tau,4.25776481628418,0.07833121716976166,CRL
CRL + Oracle + Mean Field,0.49878114461898804,0.03781202435493469,CRL (Mean Field)
CRL + GoalKDE + Full Tau,4.930866241455078,0.14185070991516113,GoalKDE
CRL + GoalKDE + Mean Field,0.6061887741088867,0.03584471717476845,GoalKDE (Mean Field)
